Scen_name,N_years,F_scen,Neff_len_Resfish,Resfish_index_CV,Resfish_sd_obs,Recruitment
FRSonly_SQ,25,cf,0,0.2,0,normal
FRSonly_poorrec,25,cf,0,0,0,poor
LRF_SQ,25,cf,30,0.24,0.2,normal
LRF_poorrec,25,cf,30,0.24,0.2,poor
IRF_SQ,25,cf,45,0.18,0.15,normal
IRF_poorrec,25,cf,45,0.18,0.15,poor
HRF_SQ,25,cf,60,0.15,0.1,normal
HRF_poorrec,25,cf,60,0.15,0.1,poor
IRFSelex_SQ,25,cf,45,0.18,0.15,normal
IRFSelex_poorrec_qprior,25,cf,45,0.18,0.15,poor
IRFSelex_poorrec,25,cf,45,0.18,0.15,poor
HRFSelex_poorrec,25,cf,60,0.15,0.1,poor
LRFSelex_poorrec,25,cf,30,0.24,0.2,poor
XLRF_SQ,25,cf,15,0.3,0.3,normal
XLRF_poorrec,25,cf,15,0.3,0.3,poor
